zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
机器学习	machine learning	ml_general	geotechnical-machine-learning	model	从数据学习映射或规律的计算方法	数据;模型;训练;预测	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26						首次出现可定义 ML
目标变量	target variable	target_variable	geotechnical-machine-learning	data	模型拟合或预测的目标	输出;响应;标签	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
标签	label	label	geotechnical-machine-learning	data	监督学习样本的已知目标	类别;真值;监督	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
数据划分	data splitting	data_splitting	geotechnical-machine-learning	validation	把数据分配到训练验证测试子集	训练;验证;测试;比例	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
交叉验证	cross-validation	cross_validation	geotechnical-machine-learning	validation	通过重复划分估计泛化性能	k折;留一;折叠	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
分组划分	group-based split	group_based_split	geotechnical-machine-learning	validation	按工程场地试验或样本组划分	场地;工况;批次;组	recommended	literature	Geotechnical ML review	ML02|ML08	not-collected	blocked_by_human_verification_2026-08-26						防止同组泄漏
时间划分	temporal split	temporal_split	geotechnical-machine-learning	validation	按时间先后构建训练和评估集	时间序列;未来;历史	recommended	literature	Geotechnical ML review	ML02|ML06	not-collected	blocked_by_human_verification_2026-08-26
标准化	standardization	standardization	geotechnical-machine-learning	preprocessing	变换为零均值和单位标准差等尺度	均值;标准差;z-score	recommended	literature	Geotechnical ML review	ML02	not-collected	blocked_by_human_verification_2026-08-26					normalization	不要与归一化静默混用
归一化	normalization	normalization	geotechnical-machine-learning	preprocessing	把变量映射到规定范围或范数	0-1;范围;范数	recommended	literature	Geotechnical ML review	ML02	not-collected	blocked_by_human_verification_2026-08-26					standardization
数据泄漏	data leakage	data_leakage	geotechnical-machine-learning	validation	训练过程不当获得评估或未来信息	测试信息;未来;同源样本	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
分布偏移	distribution shift	distribution_shift	geotechnical-machine-learning	validation	训练与应用数据分布不同	场地差异;域外;漂移	recommended	literature	Geotechnical ML review	ML02|ML08	not-collected	blocked_by_human_verification_2026-08-26
人工神经网络	artificial neural network	artificial_neural_network	geotechnical-machine-learning	model	由连接节点组成的学习模型	ANN;神经元;隐藏层	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
深度神经网络	deep neural network	deep_neural_network	geotechnical-machine-learning	model	具有多个表示学习层的神经网络	DNN;深层;隐藏层	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
卷积神经网络	convolutional neural network	convolutional_neural_network	geotechnical-machine-learning	model	使用卷积提取空间局部特征	CNN;图像;网格	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
循环神经网络	recurrent neural network	recurrent_neural_network	geotechnical-machine-learning	model	处理序列依赖的神经网络	RNN;序列;时间步	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
长短期记忆网络	long short-term memory network	lstm	geotechnical-machine-learning	model	具有门控记忆单元的循环网络	LSTM;时间序列;门控	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
门控循环单元	gated recurrent unit	gru	geotechnical-machine-learning	model	使用更新门和重置门的循环单元	GRU;门控;序列	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
随机森林	random forest	random_forest	geotechnical-machine-learning	model	由随机化决策树组成的集成模型	RF;树;集成	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
支持向量机	support vector machine	support_vector_machine	geotechnical-machine-learning	model	最大间隔分类模型	SVM;分类;核函数	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
支持向量回归	support vector regression	support_vector_regression	geotechnical-machine-learning	model	支持向量方法的回归形式	SVR;连续值;核函数	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
极端梯度提升	Extreme Gradient Boosting	xgboost	geotechnical-machine-learning	model	XGBoost 算法或实现	XGBoost;提升树;梯度	verified	official	XGBoost official name	ML02	not-collected	blocked_by_human_verification_2026-08-26						保留官方大小写
集成学习	ensemble learning	ensemble_learning	geotechnical-machine-learning	model	组合多个学习器得到预测	投票;堆叠;装袋;提升	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
超参数优化	hyperparameter optimization	hyperparameter_optimization	geotechnical-machine-learning	optimization	搜索训练前设定的模型配置	HPO;学习率;树深;搜索	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
贝叶斯优化	Bayesian optimization	bayesian_optimization	geotechnical-machine-learning	optimization	以概率代理模型指导目标函数搜索	采集函数;高斯过程;调参	recommended	literature	Gaussian process and ML literature	ML09	not-collected	blocked_by_human_verification_2026-08-26
特征选择	feature selection	feature_selection	geotechnical-machine-learning	preprocessing	选择对预测有用的输入特征	筛选;降维;变量重要性	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
物理信息机器学习	physics-informed machine learning	physics_informed_ml	geotechnical-machine-learning	physics-informed	将物理知识嵌入机器学习	PIML;方程;守恒;约束	verified	literature	Physics-informed machine learning	ML03	not-collected	blocked_by_human_verification_2026-08-26
物理信息神经网络	physics-informed neural network	pinn	geotechnical-machine-learning	physics-informed	通过控制方程残差等训练神经网络	PINN;PDE;物理损失	verified	literature	Physics-informed neural networks for geomechanics	ML10	not-collected	blocked_by_human_verification_2026-08-26
控制方程	governing equation	governing_equation	geotechnical-machine-learning	physics-informed	控制物理过程的方程	守恒;偏微分;本构	recommended	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26
边界条件	boundary condition	boundary_condition	geotechnical-machine-learning	physics-informed	定义求解域边界上的条件	边界;位移;应力;通量	recommended	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26
初始条件	initial condition	initial_condition	geotechnical-machine-learning	physics-informed	定义时间演化问题的初始状态	初始时刻;状态;场变量	recommended	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26
偏微分方程残差	PDE residual	pde_residual	geotechnical-machine-learning	physics-informed	网络解代入偏微分方程后的残差	PDE;配点;自动微分	context-dependent	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26					prediction residual
预测残差	prediction residual	prediction_residual	geotechnical-machine-learning	evaluation	观测值与模型预测值之差	误差;观测;拟合;残差	context-dependent	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26					PDE residual
物理损失	physics loss	physics_loss	geotechnical-machine-learning	physics-informed	衡量物理方程或约束违反程度的损失项	损失函数;PDE;守恒	recommended	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26
硬约束	hard constraint	hard_constraint	geotechnical-machine-learning	physics-informed	通过模型结构严格满足的约束	严格满足;参数化;边界条件	recommended	literature	Physics-informed ML	ML03	not-collected	blocked_by_human_verification_2026-08-26
软约束	soft constraint	soft_constraint	geotechnical-machine-learning	physics-informed	通过惩罚项近似满足的约束	损失权重;惩罚;近似	recommended	literature	Physics-informed ML	ML03	not-collected	blocked_by_human_verification_2026-08-26
本构关系	constitutive relation	constitutive_relation	geotechnical-machine-learning	geomechanics	描述应力应变等材料响应的关系	应力;应变;材料模型	verified	standard	ASTM D653 and geomechanics usage	GEN_STD01|ML10	not-collected	blocked_by_human_verification_2026-08-26
反问题	inverse problem	inverse_problem	geotechnical-machine-learning	inverse-analysis	由观测反求参数或状态的问题	观测;参数识别;反求	recommended	literature	Physics-informed ML	ML03|ML10	not-collected	blocked_by_human_verification_2026-08-26
反演分析	inverse analysis	inverse_analysis	geotechnical-machine-learning	inverse-analysis	利用监测或试验数据识别岩土参数	监测;参数;校准;回算	context-dependent	literature	Geotechnical ML review	ML02|ML08	not-collected	blocked_by_human_verification_2026-08-26					inversion	地球物理成像语境可能用 inversion
代理模型	surrogate model	surrogate_model	geotechnical-machine-learning	surrogate	替代高成本数值或物理模型的近似模型	有限元;快速预测;替代	recommended	literature	Gaussian process and geotechnical ML	ML09|ML08	not-collected	blocked_by_human_verification_2026-08-26					proxy model
降阶模型	reduced-order model	reduced_order_model	geotechnical-machine-learning	surrogate	在低维空间近似高维系统	ROM;降维;基函数	recommended	literature	Surrogate modelling literature	ML09	not-collected	blocked_by_human_verification_2026-08-26
响应面	response surface	response_surface_model	geotechnical-machine-learning	surrogate	输入与响应之间的统计近似面	试验设计;代理;多项式	context-dependent	literature	Surrogate modelling literature	ML09	not-collected	blocked_by_human_verification_2026-08-26					response surface in geometry
高斯过程代理模型	Gaussian-process surrogate	gp_surrogate	geotechnical-machine-learning	surrogate	以高斯过程给出预测及不确定性的代理模型	GP;核函数;方差	recommended	literature	Gaussian processes	ML09	not-collected	blocked_by_human_verification_2026-08-26
多保真学习	multi-fidelity learning	multi_fidelity_learning	geotechnical-machine-learning	surrogate	联合不同精度和成本的数据源	高保真;低保真;联合	recommended	literature	Physics-informed and surrogate ML	ML03|ML09	not-collected	blocked_by_human_verification_2026-08-26
主动学习	active learning	active_learning	geotechnical-machine-learning	surrogate	由模型选择最有信息量的新样本	采样;查询;不确定性	recommended	literature	Surrogate modelling literature	ML09	not-collected	blocked_by_human_verification_2026-08-26
边坡稳定性	slope stability	slope_stability	geotechnical-machine-learning	application	边坡抵抗失稳的工程问题	安全系数;滑坡;边坡	verified	literature	Slope stability ML	ML05	not-collected	blocked_by_human_verification_2026-08-26
安全系数	factor of safety	factor_of_safety	geotechnical-machine-learning	geotechnical-quantity	抗力与作用或强度与需求的规定比值	FoS;边坡;稳定性	verified	standard	ASTM D653 and geotechnical usage	GEN_STD01|ML05	not-collected	blocked_by_human_verification_2026-08-26						保留原文定义
地表沉降	ground surface settlement	ground_surface_settlement	geotechnical-machine-learning	application	地表由工程扰动产生的竖向位移	隧道;开挖;地表;沉降	recommended	literature	Tunnelling ML review	ML06	not-collected	blocked_by_human_verification_2026-08-26					subsidence	区域性下沉需另判
隧道诱发沉降	tunnelling-induced settlement	tunnelling_induced_settlement	geotechnical-machine-learning	application	隧道施工引起的沉降	盾构;开挖;沉降槽	recommended	literature	Tunnelling ML review	ML06	not-collected	blocked_by_human_verification_2026-08-26
岩土参数识别	geotechnical parameter identification	geotechnical_parameter_identification	geotechnical-machine-learning	application	从数据估计岩土模型参数	反分析;本构;监测	recommended	literature	Geotechnical ML review	ML02|ML08	not-collected	blocked_by_human_verification_2026-08-26
空间变异性	spatial variability	spatial_variability	geotechnical-machine-learning	uncertainty	岩土性质随空间位置的变化	随机场;场地;相关长度	verified	standard	ASTM D653 and geotechnical literature	GEN_STD01|ML02	not-collected	blocked_by_human_verification_2026-08-26
随机场	random field	random_field	geotechnical-machine-learning	uncertainty	描述空间相关随机量的模型	相关长度;方差;空间	recommended	literature	Geotechnical ML review	ML02|ML09	not-collected	blocked_by_human_verification_2026-08-26
平均绝对误差	mean absolute error	mae	geotechnical-machine-learning	evaluation	预测绝对误差的平均值	MAE;误差;评价	verified	standard	ISO/IEC terminology and ML usage	ML_STD01|ML07	not-collected	blocked_by_human_verification_2026-08-26
均方根误差	root mean square error	rmse	geotechnical-machine-learning	evaluation	平方误差均值的平方根	RMSE;误差;评价	verified	standard	ISO/IEC terminology and ML usage	ML_STD01|ML07	not-collected	blocked_by_human_verification_2026-08-26
决定系数	coefficient of determination	r_squared	geotechnical-machine-learning	evaluation	回归拟合解释响应变异的统计量	R2;回归;拟合	verified	standard	ML evaluation usage	ML07	not-collected	blocked_by_human_verification_2026-08-26						保留原文 R² 定义
准确率	accuracy	classification_accuracy	geotechnical-machine-learning	evaluation	分类预测正确样本占比	分类;混淆矩阵;正确率	context-dependent	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26					precision	不要译 precision
精确率	precision	classification_precision	geotechnical-machine-learning	evaluation	预测为正的样本中真实为正的比例	查准率;阳性;混淆矩阵	context-dependent	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26					accuracy
F1分数	F1 score	f1_score	geotechnical-machine-learning	evaluation	精确率与召回率的调和平均	F1;分类;召回率	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
泛化能力	generalization ability	generalization_ability	geotechnical-machine-learning	evaluation	模型对未见数据保持性能的能力	独立测试;新场地;域外	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
外推	extrapolation	extrapolation	geotechnical-machine-learning	evaluation	在训练数据范围之外进行预测	超范围;新工况;边界外	recommended	literature	Geotechnical ML review	ML02|ML08	not-collected	blocked_by_human_verification_2026-08-26
预测区间	prediction interval	prediction_interval	geotechnical-machine-learning	uncertainty	给定覆盖概率的未来观测范围	上下限;置信水平;未来值	recommended	literature	Gaussian-process and ML literature	ML09	not-collected	blocked_by_human_verification_2026-08-26					confidence interval
认知不确定性	epistemic uncertainty	epistemic_uncertainty	geotechnical-machine-learning	uncertainty	源于知识数据或模型不足的不确定性	数据不足;模型形式;可约减	recommended	literature	Physics-informed and surrogate ML	ML03|ML09	not-collected	blocked_by_human_verification_2026-08-26
偶然不确定性	aleatory uncertainty	aleatory_uncertainty	geotechnical-machine-learning	uncertainty	源于系统固有随机性的不可约不确定性	随机性;固有变异;不可约	recommended	literature	Geotechnical ML review	ML02|ML09	not-collected	blocked_by_human_verification_2026-08-26
不确定性量化	uncertainty quantification	uncertainty_quantification	geotechnical-machine-learning	uncertainty	定量描述预测或参数不确定性	UQ;概率分布;区间	recommended	literature	Physics-informed and surrogate ML	ML03|ML09	not-collected	blocked_by_human_verification_2026-08-26
特征重要性	feature importance	feature_importance	geotechnical-machine-learning	interpretability	衡量输入特征对预测的贡献	排序;解释;变量	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26
SHAP值	SHAP value	shap_value	geotechnical-machine-learning	interpretability	基于 Shapley 值的局部或全局特征贡献	SHAP;解释;贡献	recommended	literature	Geotechnical ML review	ML02|ML07	not-collected	blocked_by_human_verification_2026-08-26						首次出现展开 Shapley additive explanations
