zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
相似理论	similitude theory	similitude_theory	geotechnical-analogue-materials	similitude	模型与原型相似性的理论体系	模型;原型;量纲;缩尺	recommended	literature	Rock analogue review and scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26						原作者固定用 similarity theory 时保留
模型材料	model material	model_material	geotechnical-analogue-materials	material-system	模型中实际使用且未必满足全部相似条件的材料	model setup;material selection	recommended	literature	Rock analogue review	AM01	not-collected	blocked_by_human_verification_2026-08-26
类岩相似材料	rock-analogue material	rock_analogue_material	geotechnical-analogue-materials	material-system	用于模拟岩石性质的缩尺材料	simulate rock;scaled model	verified	literature	Rock analogue material study	AM01|AM02	not-collected	blocked_by_human_verification_2026-08-26
类岩材料	rock-like material	rock_like_material	geotechnical-analogue-materials	material-system	外观或力学行为类似岩石的人工材料	artificial specimen;3D printing;flaw	context-dependent	literature	Rock-like specimen study	AM07	not-collected	blocked_by_human_verification_2026-08-26					rock-analogue material	不自动表示满足相似律
人工岩样	artificial rock specimen	artificial_rock_specimen	geotechnical-analogue-materials	material-system	人工制备的岩石试样级试件	specimen;laboratory strength;not scaled	context-dependent	literature	Rock-like specimen study	AM07	not-collected	blocked_by_human_verification_2026-08-26						作者写 rock-like specimen 时优先保留
类土材料	soil analogue	soil_analogue	geotechnical-analogue-materials	material-system	模拟天然土体行为的人工材料	analogue soil;physical model	recommended	literature	Transparent soil review	AM03|AM05	not-collected	blocked_by_human_verification_2026-08-26
土体替代材料	soil surrogate	soil_surrogate	geotechnical-analogue-materials	material-system	作为天然土替代介质的材料	surrogate;transparent synthetic soil	verified	literature	Transparent soil review	AM03	not-collected	blocked_by_human_verification_2026-08-26
透明土	transparent soil	transparent_soil	geotechnical-analogue-materials	transparent-material	折射率匹配形成的透明土介质	refractive index;optical;PIV	verified	literature	Transparent soil literature	AM03|AM05	not-collected	blocked_by_human_verification_2026-08-26
透明胶结土	transparent cemented soil	transparent_cemented_soil	geotechnical-analogue-materials	transparent-material	具有胶结组分的透明土	cemented;silica;shear band	verified	literature	Transparent cemented soil	AM04	not-collected	blocked_by_human_verification_2026-08-26
骨料	aggregate	aggregate	geotechnical-analogue-materials	composition	形成材料骨架的颗粒组分	石英砂;铁粉;重晶石	verified	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26
胶结剂	binder	binder	geotechnical-analogue-materials	composition	把颗粒胶结为整体的通用组分	binder content;cement;gypsum	recommended	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26
胶结剂	cementing agent	cementing_agent_cn	geotechnical-analogue-materials	composition	沿用中国相似材料论文对胶结组分的表达	浓度;松香酒精;中文摘要	context-dependent	literature	Chinese bilingual literature	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26					binder	国际写作通常优先 binder
调节剂	modifier	modifier	geotechnical-analogue-materials	composition	调节强度凝结或渗透性的添加组分	adjust;modify;dosage	recommended	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26					regulator	按具体功能判断
填料	filler	filler	geotechnical-analogue-materials	composition	填充孔隙或调节体积性质的细粒组分	fine powder;void filling	recommended	literature	Rock analogue review	AM01|AM02	not-collected	blocked_by_human_verification_2026-08-26
石英砂	quartz sand	quartz_sand	geotechnical-analogue-materials	composition	常用颗粒骨料	aggregate;sand fraction	verified	literature	Rock analogue studies	AM02|AM04	not-collected	blocked_by_human_verification_2026-08-26
重晶石粉	barite powder	barite_powder	geotechnical-analogue-materials	composition	用于提高密度的粉体组分	high density;aggregate	verified	literature	Chinese similar-material studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26
石膏粉	gypsum powder	gypsum_powder	geotechnical-analogue-materials	composition	用作胶结或调节组分的石膏粉	gypsum;setting;strength	recommended	literature	Chinese similar-material studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26
水泥	cement	cement	geotechnical-analogue-materials	composition	水硬性胶结材料	cement content;curing	verified	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26
松香酒精溶液	rosin–alcohol solution	rosin_alcohol_solution	geotechnical-analogue-materials	composition	松香溶于酒精形成的胶结体系	rosin;alcohol;binder	recommended	literature	Chinese similar-material studies	AM08	not-collected	blocked_by_human_verification_2026-08-26
配合比	mix proportion	mix_proportion	geotechnical-analogue-materials	mix-design	各组分的整体配制方案	配方;用量;材料组成	recommended	literature	Similar-material proportion studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26					mixture ratio	不把所有配比机械译为 ratio
混合比例	mixture ratio	mixture_ratio	geotechnical-analogue-materials	mix-design	两种或多种组分的明确数值比例	A:B;质量比;含量	recommended	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26
砂胶比	sand-to-binder ratio	sand_binder_ratio	geotechnical-analogue-materials	mix-design	砂质量与胶结材料质量之比	sand/binder;mass ratio	recommended	literature	Similar-material proportion study	AM09	not-collected	blocked_by_human_verification_2026-08-26
水胶比	water-to-binder ratio	water_binder_ratio	geotechnical-analogue-materials	mix-design	水与全部胶结材料质量比	w/b;cementitious material	recommended	literature	Material proportion literature	AM09	not-collected	blocked_by_human_verification_2026-08-26						仅水泥时可用 water–cement ratio
正交试验设计	orthogonal experimental design	orthogonal_design	geotechnical-analogue-materials	mix-design	用正交表安排多因素多水平试验	orthogonal array;factors;levels	verified	literature	Chinese similar-material studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26
因素水平	factor level	factor_level	geotechnical-analogue-materials	mix-design	正交设计中某因素的取值	因素;水平;正交表	recommended	literature	Chinese similar-material studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26
极差分析	range analysis	orthogonal_range_analysis	geotechnical-analogue-materials	mix-design	以各水平响应极差判断因素影响	主次;因素效应;K值	recommended	literature	Chinese similar-material studies	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26						限正交试验语境
试件	specimen	specimen	geotechnical-analogue-materials	specimen-preparation	用于材料性能试验的单个样品	圆柱;岩芯;试验	verified	standard	ASTM D7012 and D3967	AM_STD02|AM_STD03	not-collected	blocked_by_human_verification_2026-08-26
养护	curing	curing	geotechnical-analogue-materials	specimen-preparation	成型后的温湿度和时间处理	龄期;湿度;温度	recommended	literature	Rock analogue studies	AM02|AM09	not-collected	blocked_by_human_verification_2026-08-26
成型压力	moulding pressure	moulding_pressure	geotechnical-analogue-materials	specimen-preparation	模压制备时施加的压力	压制;密实;制样	verified	literature	Rock analogue material study	AM02	not-collected	blocked_by_human_verification_2026-08-26						美式可用 molding pressure
密度	density	density	geotechnical-analogue-materials	physical-property	单位体积质量	kg/m3;质量/体积	verified	standard	ASTM D653	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26
单轴抗压强度	uniaxial compressive strength	uniaxial_compressive_strength	geotechnical-analogue-materials	mechanical-property	无侧限单轴压缩峰值强度	UCS;单轴加载	verified	standard	ASTM D7012	AM_STD02	not-collected	blocked_by_human_verification_2026-08-26
抗拉强度	tensile strength	tensile_strength_general	geotechnical-analogue-materials	mechanical-property	材料抗拉强度的统称	直接拉伸;通用指标	context-dependent	standard	ASTM D3967	AM_STD03	not-collected	blocked_by_human_verification_2026-08-26					splitting tensile strength	劈裂试验需用专门术语
劈裂抗拉强度	splitting tensile strength	splitting_tensile_strength	geotechnical-analogue-materials	mechanical-property	巴西劈裂法获得的抗拉指标	Brazilian test;径向加载	verified	standard	ASTM D3967	AM_STD03	not-collected	blocked_by_human_verification_2026-08-26
弹性模量	elastic modulus	elastic_modulus	geotechnical-analogue-materials	mechanical-property	应力应变关系中的弹性刚度指标	modulus;loading segment	verified	standard	ASTM D7012	AM_STD02	not-collected	blocked_by_human_verification_2026-08-26
泊松比	Poisson's ratio	poissons_ratio	geotechnical-analogue-materials	mechanical-property	横向应变与轴向应变比	横向;轴向;应变	verified	standard	ASTM D7012	AM_STD02	not-collected	blocked_by_human_verification_2026-08-26
黏聚力	cohesion	cohesion	geotechnical-analogue-materials	mechanical-property	剪切强度准则中的黏聚截距	c;Mohr-Coulomb	verified	standard	ASTM D653	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26
内摩擦角	friction angle	friction_angle	geotechnical-analogue-materials	mechanical-property	剪切强度准则中的摩擦角	phi;Mohr-Coulomb	verified	standard	ASTM D653	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26						angle of internal friction 可作同义词
渗透率	intrinsic permeability	intrinsic_permeability	geotechnical-analogue-materials	hydraulic-property	与流体性质无关的多孔介质固有渗透能力	m2;D;mD;气体	context-dependent	literature	Rock analogue material study	AM02	not-collected	blocked_by_human_verification_2026-08-26					hydraulic conductivity	必须按量纲判断
渗透系数	hydraulic conductivity	hydraulic_conductivity	geotechnical-analogue-materials	hydraulic-property	给定流体条件下单位水力梯度的流速	m/s;渗透仪;水力梯度	context-dependent	standard	ASTM D5084	AM_STD04	not-collected	blocked_by_human_verification_2026-08-26					intrinsic permeability	部分中文来源称 permeability coefficient
孔隙流体	pore fluid	pore_fluid	geotechnical-analogue-materials	hydraulic-property	占据材料孔隙空间的流体	矿物油;水;黏性流体	verified	standard	ASTM D653	GEN_STD01|AM04	not-collected	blocked_by_human_verification_2026-08-26
折射率匹配	refractive-index matching	refractive_index_matching	geotechnical-analogue-materials	transparent-material	固体颗粒和孔隙流体折射率匹配	transparent soil;optical visibility	verified	literature	Transparent soil literature	AM03|AM04|AM05	not-collected	blocked_by_human_verification_2026-08-26
气固耦合	gas–solid coupling	gas_solid_coupling	geotechnical-analogue-materials	coupled-process	气体渗流与固体变形耦合	气压;低渗透;变形	verified	literature	Rock analogue material study	AM02	not-collected	blocked_by_human_verification_2026-08-26
流固耦合	fluid–solid coupling	fluid_solid_coupling	geotechnical-analogue-materials	coupled-process	流体流动与固体变形相互作用	渗流;变形;耦合	recommended	literature	Physical model literature	AM02|AM03	not-collected	blocked_by_human_verification_2026-08-26
粒子图像测速	particle image velocimetry	particle_image_velocimetry	geotechnical-analogue-materials	measurement	基于连续图像相关测量速度或位移场	PIV;图像;速度场	verified	literature	Transparent soil review	AM03	not-collected	blocked_by_human_verification_2026-08-26
数字图像相关	digital image correlation	digital_image_correlation	geotechnical-analogue-materials	measurement	基于图像子区相关测量位移与应变	DIC;散斑;变形	verified	literature	DIC accuracy study	AM06|AM07	not-collected	blocked_by_human_verification_2026-08-26
位移场	displacement field	displacement_field	geotechnical-analogue-materials	measurement	空间各点位移的分布	PIV;DIC;矢量场	verified	literature	Full-field measurement literature	AM03|AM07	not-collected	blocked_by_human_verification_2026-08-26
应变场	strain field	strain_field	geotechnical-analogue-materials	measurement	空间各点应变的分布	DIC;局部化;全场	verified	literature	Rock-like specimen study	AM07	not-collected	blocked_by_human_verification_2026-08-26
剪切带	shear band	shear_band	geotechnical-analogue-materials	failure-observation	局部化剪切变形带	局部化;破坏区;透明土	verified	literature	Transparent cemented soil	AM04	not-collected	blocked_by_human_verification_2026-08-26
测量准确度	measurement accuracy	measurement_accuracy	geotechnical-analogue-materials	measurement-error	测量值接近真值的程度	参考值;偏差;真值	context-dependent	literature	DIC accuracy study	AM06	not-collected	blocked_by_human_verification_2026-08-26					measurement precision	不要与 precision 混用
测量精密度	measurement precision	measurement_precision	geotechnical-analogue-materials	measurement-error	重复测量结果彼此接近的程度	离散;重复测量;分辨率	context-dependent	literature	DIC measurement literature	AM06	not-collected	blocked_by_human_verification_2026-08-26					measurement accuracy	中文仅写精度且证据不足时询问
重复性	repeatability	repeatability_same_conditions	geotechnical-analogue-materials	quality-control	相同条件下重复测量的一致程度	同一实验者;同一设备;短时间	context-dependent	standard	ASTM terminology	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26					reproducibility
再现性	reproducibility	reproducibility_changed_conditions	geotechnical-analogue-materials	quality-control	跨批次实验室或条件的结果一致程度	跨实验室;跨批次;不同条件	context-dependent	standard	ASTM terminology	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26					repeatability
