zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
顶盐厚度	roof salt thickness	roof_salt_thickness	salt-cavern-construction	cavern-design	腔顶至盐层顶界的盐岩厚度	腔顶;安全距离;套管鞋;厚度	recommended	standard	API RP 1170	SC_STD01|SC14	not-collected	cnki_query_unauthorized_2026-08-26					roof thickness
净盐厚度	net salt thickness	net_salt_thickness	salt-cavern-construction	resource-evaluation	扣除非盐夹层后的有效盐层厚度	累计;有效;夹层;资源	recommended	literature	Site feasibility studies	SC03|SC13	not-collected	cnki_query_unauthorized_2026-08-26					gross salt thickness
盐岩品位	halite purity	halite_purity	salt-cavern-construction	resource-evaluation	盐矿中 NaCl 的质量占比或纯度	百分比;NaCl;品位;纯度	context-dependent	literature	Site feasibility studies	SC03|SC13	not-collected	cnki_query_unauthorized_2026-08-26						定义为含量时可用 halite content
夹层	interlayer	interlayer_mechanical	salt-cavern-construction	geology-and-mechanics	盐岩中参与破坏垮落或力学建模的非盐层	垮塌;悬空;强度;厚夹层	context-dependent	literature	Interlayer failure studies	SC04|SC05	not-collected	cnki_query_unauthorized_2026-08-26					interbed	中国盐穴力学论文常用
夹层	interbed	interbed_stratigraphic	salt-cavern-construction	geology	强调地层学上的互层或薄层	地层柱;岩性;沉积;互层	context-dependent	literature	Bedded salt geology	SC05|SC14	not-collected	cnki_query_unauthorized_2026-08-26					interlayer
非盐夹层	nonsalt interlayer	nonsalt_interlayer	salt-cavern-construction	geology-and-mechanics	盐层中的泥岩硬石膏等非盐层	泥岩;硬石膏;夹层	verified	literature	Interlayer studies	SC04|SC05	not-collected	cnki_query_unauthorized_2026-08-26						库内统一 nonsalt
难溶夹层	insoluble interlayer	insoluble_interlayer	salt-cavern-construction	leaching-geology	造腔水中难溶并形成悬层或沉渣的夹层	不溶物;沉渣;垮塌;浸泡	verified	literature	Leaching and interlayer studies	SC01|SC04|SC11	not-collected	cnki_query_unauthorized_2026-08-26
水溶开采	solution mining	solution_mining_resource	salt-cavern-construction	solution-mining	用溶剂原位溶解盐并采出卤水	盐矿;采盐;卤水产品;开采	verified	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26						通用工艺名
水溶造腔	solution-mining cavern construction	solution_mining_cavern_construction	salt-cavern-construction	solution-mining	以储存腔体为目标的水溶开采	储气;储能;设计形态;造腔	verified	standard	API RP 1170	SC_STD01|SC09	not-collected	cnki_query_unauthorized_2026-08-26
造腔	cavern construction	cavern_construction_activity	salt-cavern-construction	solution-mining	造腔工程建设活动及全过程	设计;施工;工期;技术;工程	context-dependent	standard	API RP 1170 and construction literature	SC_STD01|SC08|SC09	not-collected	cnki_query_unauthorized_2026-08-26					cavern development	默认工程活动义
造腔	cavern development	cavern_geometry_development	salt-cavern-construction	solution-mining	强调腔体尺寸与形态随时间发展	形态演化;半径;阶段;生长	context-dependent	literature	Leaching model literature	SC_GOV01|SC01	not-collected	cnki_query_unauthorized_2026-08-26					cavern construction	几何演化语境
溶腔	leach a cavern	leach_cavern_verb	salt-cavern-construction	solution-mining	形成盐穴的动词动作	进行;形成;水溶;溶出	context-dependent	literature	Leaching studies	SC01|SC10	not-collected	cnki_query_unauthorized_2026-08-26						按英语句法变形
溶腔	solution-mined cavern	solution_mined_cavern_noun	salt-cavern-construction	solution-mining	已经通过水溶法形成的腔体	一个;该;已有;利用	context-dependent	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26						名词义
采卤	brine production	brine_production_product	salt-cavern-construction	solution-mining	以卤水产品为目的的生产	制盐;盐化工;产量;产品	context-dependent	standard	API RP 1170	SC_STD01	not-collected	cnki_query_unauthorized_2026-08-26					brine withdrawal
采卤	brine withdrawal	brine_withdrawal_during_leaching	salt-cavern-construction	solution-mining	造腔循环中把卤水返回地面	造腔;回路;注水;出口	context-dependent	official	DOE technical document	SC_GOV01|SC01	not-collected	cnki_query_unauthorized_2026-08-26					brine production
排卤	brine withdrawal	brine_withdrawal	salt-cavern-construction	solution-mining	从盐穴连续采出或返回卤水	出口;流量;管柱;循环	context-dependent	literature	Solution-mining studies	SC_GOV01|SC02	not-collected	cnki_query_unauthorized_2026-08-26					debrining	造腔阶段默认
排卤	debrining	debrining_commissioning	salt-cavern-construction	commissioning	造腔完成后以气体或产品置换腔内卤水	完井;置换;注气;投产	context-dependent	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26					brine withdrawal	不能用于日常造腔回流
注水排卤	water injection and brine withdrawal	water_injection_brine_withdrawal	salt-cavern-construction	solution-mining	造腔循环的成对动作	注水管;排卤管;循环;流量	verified	official	DOE technical document	SC_GOV01|SC03	not-collected	cnki_query_unauthorized_2026-08-26
清水注入	freshwater injection	freshwater_injection	salt-cavern-construction	solution-mining	以清水作为溶剂注入	清水;淡水;泵;注入	verified	literature	Leaching studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26						原文为 raw water 时保留
不饱和卤水	unsaturated brine	unsaturated_brine	salt-cavern-construction	solution-mining	仍具有溶盐能力的卤水	浓度;溶解;注入;未饱和	verified	literature	Leaching studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26					dilute brine
饱和卤水	saturated brine	saturated_brine	salt-cavern-construction	solution-mining	达到相应条件下盐饱和的卤水	饱和度;排出;置换;盐析	verified	official	DOE and leaching literature	SC_GOV01|SC03	not-collected	cnki_query_unauthorized_2026-08-26
卤水浓度	brine concentration	brine_concentration	salt-cavern-construction	solution-mining	卤水中盐的浓度	质量分数;浓度场;出口	verified	literature	Leaching studies	SC01|SC02	not-collected	cnki_query_unauthorized_2026-08-26						保留单位和质量基准
出口卤水浓度	outlet brine concentration	outlet_brine_concentration	salt-cavern-construction	solution-mining	地面排卤出口处的浓度	出口;排卤;监测;流量	verified	literature	Process optimization studies	SC02|SC03	not-collected	cnki_query_unauthorized_2026-08-26
正循环	direct circulation	direct_circulation	salt-cavern-construction	solution-mining	水从内管注入而卤水经环空上返	内管注水;环空排卤;腔底	verified	official	DOE technical document	SC_GOV01|SC14	not-collected	cnki_query_unauthorized_2026-08-26					positive circulation
反循环	reverse circulation	reverse_circulation	salt-cavern-construction	solution-mining	水经环空注入而卤水经内管返回	环空注水;内管排卤;腔顶	verified	official	DOE technical document	SC_GOV01|SC14	not-collected	cnki_query_unauthorized_2026-08-26					negative circulation
正反循环交替	alternating direct and reverse circulation	alternating_circulation	salt-cavern-construction	solution-mining	不同阶段切换正循环与反循环	切换;交替;阶段;方案	recommended	official	DOE and construction literature	SC_GOV01|SC09	not-collected	cnki_query_unauthorized_2026-08-26					positive-negative circulation
注水流量	water injection rate	water_injection_rate	salt-cavern-construction	process-parameter	单位时间注入的水量	立方米每小时;泵;流量	verified	literature	Optimization studies	SC02|SC12	not-collected	cnki_query_unauthorized_2026-08-26						表头可简写 flow rate
排卤流量	brine withdrawal rate	brine_withdrawal_rate	salt-cavern-construction	process-parameter	单位时间排出的卤水量	出口;排卤;立方米每小时	verified	literature	Leaching studies	SC01|SC02	not-collected	cnki_query_unauthorized_2026-08-26
溶解速率	salt dissolution rate	salt_dissolution_rate	salt-cavern-construction	leaching-physics	盐壁单位面积或时间的溶解速率	腔壁;盐岩;角度;浓度	verified	literature	Leaching model studies	SC01|SC07	not-collected	cnki_query_unauthorized_2026-08-26						有对象时显式写 salt
盐-卤传质速率	salt–brine mass-transfer rate	salt_brine_mass_transfer_rate	salt-cavern-construction	leaching-physics	盐壁与卤水界面的质量传递速率	传质;边界;溶解;系数	verified	literature	Leaching model studies	SC01|SC10	not-collected	cnki_query_unauthorized_2026-08-26
上溶	upward dissolution	upward_dissolution	salt-cavern-construction	leaching-physics	腔顶方向的盐岩溶解	腔顶;上方;油垫;控制	recommended	literature	Lab and DOE sources	SC15|SC_GOV01	not-collected	cnki_query_unauthorized_2026-08-26						工艺动作可写 upward leaching
侧溶	sidewall dissolution	sidewall_dissolution	salt-cavern-construction	leaching-physics	盐穴侧壁的横向溶解	侧壁;半径;横向;扩径	recommended	literature	Leaching models	SC01|SC11	not-collected	cnki_query_unauthorized_2026-08-26
下溶	downward dissolution	downward_dissolution	salt-cavern-construction	leaching-physics	盐穴底部向下的溶解	腔底;下部;倒锥;建槽	recommended	official	DOE and design sources	SC_GOV01|SC14	not-collected	cnki_query_unauthorized_2026-08-26
扩腔	cavern enlargement	cavern_enlargement	salt-cavern-construction	cavern-modification	主动扩大已有盐穴或增加水溶空间	复溶;增加体积;已有盐穴	verified	literature	Cavern enlargement studies	SC07|SC10	not-collected	cnki_query_unauthorized_2026-08-26					dilatancy	不得与岩石扩容混同
复溶	re-leaching	re_leaching	salt-cavern-construction	cavern-modification	对已有盐穴再次注水溶蚀	已有腔;修复;扩容;二次	verified	literature	Cavern repair study	SC10	not-collected	cnki_query_unauthorized_2026-08-26						动词可写 re-leach
修腔	cavern shape repair	cavern_shape_repair	salt-cavern-construction	cavern-modification	通过复溶修正不规则盐穴形态	不规则;复溶;颈缩;修复	verified	literature	Cavern repair study	SC10	not-collected	cnki_query_unauthorized_2026-08-26					cavern maintenance
造腔周期	leaching duration	leaching_duration	salt-cavern-construction	process-parameter	完成规定造腔方案所需时间	天;月;工期;阶段	recommended	literature	Process optimization studies	SC02|SC03	not-collected	cnki_query_unauthorized_2026-08-26						全项目工期可用 cavern-construction period
造腔速率	cavern construction rate	cavern_construction_rate	salt-cavern-construction	process-parameter	腔体体积增长率或施工进度	体积每天;效率;提管	recommended	literature	Construction studies	SC03|SC12	not-collected	cnki_query_unauthorized_2026-08-26						必须保留计算定义
造腔井	leaching well	leaching_well	salt-cavern-construction	well-and-completion	用于盐穴水溶造腔的井	井口;钻井;管柱;造腔	verified	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26					construction well
单井直井造腔	single-well vertical cavern construction	single_well_vertical_construction	salt-cavern-construction	well-pattern	单一竖井布置的造腔方式	单井;直井;SWV;三层管柱	recommended	literature	Tubing-control study	SC03	not-collected	cnki_query_unauthorized_2026-08-26						首次出现可定义 SWV
两井水平造腔	two-well horizontal cavern construction	two_well_horizontal_construction	salt-cavern-construction	well-pattern	两口井通过水平段连通造腔	两井;水平井;TWH;连通	verified	literature	Horizontal cavern studies	SC03|SC12	not-collected	cnki_query_unauthorized_2026-08-26						首次出现定义 TWH
造腔管柱	leaching string	leaching_string	salt-cavern-construction	well-and-completion	水溶造腔期间下入井内的可移动管柱	内管;外管;下深;提管	verified	standard	EN 1918-3 and HyStories	SC_STD02|SC14	not-collected	cnki_query_unauthorized_2026-08-26					leaching column
内造腔管	inner leaching tubing	inner_leaching_tubing	salt-cavern-construction	well-and-completion	造腔管柱组合中的内管	内管;注水;排卤;下深	verified	literature	Leaching studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26					pipe
外造腔管	outer leaching tubing	outer_leaching_tubing	salt-cavern-construction	well-and-completion	造腔管柱组合中的外管	外管;环空;下深;提管	verified	literature	Leaching studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26					production casing
套管	casing	well_casing	salt-cavern-construction	well-and-completion	固井并形成井筒屏障的管材	固井;井壁;完整性;管鞋	verified	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26					tubing
生产套管	production casing	production_casing	salt-cavern-construction	well-and-completion	通至盐层并承担长期井筒功能的套管	固井;盐层;储气;完井	verified	standard	API RP 1170	SC_STD01|SC02	not-collected	cnki_query_unauthorized_2026-08-26						按具体井身结构核对
套管鞋	casing shoe	casing_shoe	salt-cavern-construction	well-and-completion	套管柱底端及其附近密封部位	固井;腔顶;保护;鞋部	verified	standard	API RP 1170	SC_STD01|SC02	not-collected	cnki_query_unauthorized_2026-08-26
环空	annulus	well_annulus	salt-cavern-construction	well-and-completion	两同心管柱之间的环形流道	套管;内管;注水;返卤	verified	standard	API RP 1170 and DOE	SC_STD01|SC_GOV01	not-collected	cnki_query_unauthorized_2026-08-26						多层管柱时说明具体环空
管柱组合	tubing arrangement	tubing_arrangement	salt-cavern-construction	well-and-completion	内外管下深及通道功能的组合	内管;外管;下深;工艺参数	recommended	literature	Tubing-control studies	SC02|SC03	not-collected	cnki_query_unauthorized_2026-08-26
管口间距	distance between tubing ends	tubing_end_spacing	salt-cavern-construction	well-and-completion	内外造腔管出口在垂向上的距离	两管口;间距;下深;注排	recommended	literature	Leaching studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26					tubing spacing
提管	tubing lifting	tubing_lifting	salt-cavern-construction	well-and-completion	造腔过程中上提造腔管柱	上提;频率;高度;阶段	verified	literature	Tubing-control study	SC03	not-collected	cnki_query_unauthorized_2026-08-26						句中可用 raise the tubing
同步提管	simultaneous tubing lifting	simultaneous_tubing_lifting	salt-cavern-construction	well-and-completion	两井或两侧管柱同时上提	同时;两侧;水平盐穴;频率	verified	literature	Tubing-control study	SC03	not-collected	cnki_query_unauthorized_2026-08-26						说明同步对象
保护液垫	protective blanket	protective_blanket	salt-cavern-construction	blanket-control	控制腔顶溶解并保护套管鞋的轻质流体层	腔顶;保护;套管鞋;轻质	verified	official	DOE and API sources	SC_GOV01|SC_STD01	not-collected	cnki_query_unauthorized_2026-08-26					cushion layer
垫层材料	blanket material	blanket_material	salt-cavern-construction	blanket-control	组成保护垫层的油或气体介质	柴油;原油;氮气;不溶	verified	official	DOE and API sources	SC_GOV01|SC_STD01	not-collected	cnki_query_unauthorized_2026-08-26
油垫	oil blanket	oil_blanket	salt-cavern-construction	blanket-control	以油类介质控制腔顶溶解	柴油;油卤界面;腔顶;提升	verified	official	DOE and leaching literature	SC_GOV01|SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26					oil cushion
柴油垫	diesel-oil blanket	diesel_oil_blanket	salt-cavern-construction	blanket-control	以柴油作为保护垫层	柴油;污染;成本;界面	recommended	literature	Process optimization studies	SC02|SC03	not-collected	cnki_query_unauthorized_2026-08-26
气垫	gas blanket	gas_blanket	salt-cavern-construction	blanket-control	以气体作为造腔保护介质	氮气;天然气;气卤界面;压缩性	verified	literature	Gas-blanket studies	SC02|SC10	not-collected	cnki_query_unauthorized_2026-08-26					cushion gas	不得与储气运行的 cushion gas 混同
氮气垫	nitrogen blanket	nitrogen_blanket	salt-cavern-construction	blanket-control	以氮气替代油垫进行造腔	氮气注入;压力;气卤界面	verified	literature	Solution mining under nitrogen	SC02	not-collected	cnki_query_unauthorized_2026-08-26
油卤界面	oil–brine interface	oil_brine_interface	salt-cavern-construction	blanket-control	油垫与卤水之间的界面	界面深度;油垫;腔顶	verified	literature	Oil-blanket studies	SC01|SC03	not-collected	cnki_query_unauthorized_2026-08-26
气卤界面	gas–brine interface	gas_brine_interface	salt-cavern-construction	blanket-control	气垫与卤水之间的界面	氮气;压力;界面深度	verified	literature	Gas-blanket studies	SC02|SC10	not-collected	cnki_query_unauthorized_2026-08-26					gas-water interface
建槽	sump development	sump_development	salt-cavern-construction	leaching-stage	造腔早期在目标层底部形成沉渣容纳空间	初期;腔底;沉渣;正循环	context-dependent	official	DOE and HyStories	SC_GOV01|SC14	not-collected	cnki_query_unauthorized_2026-08-26						中文槽不是底部沉渣槽时另判
初始造腔阶段	initial leaching stage	initial_leaching_stage	salt-cavern-construction	leaching-stage	开始形成初始腔体和底槽的阶段	初期;第一阶段;建槽;小腔	verified	literature	Leaching model studies	SC01|SC11	not-collected	cnki_query_unauthorized_2026-08-26
主体造腔阶段	main cavern-development stage	main_cavern_development_stage	salt-cavern-construction	leaching-stage	主要扩大腔体体积并控制轮廓的阶段	主体;扩径;提管;反循环	recommended	literature	Construction design sources	SC03|SC14	not-collected	cnki_query_unauthorized_2026-08-26						可依工艺用 main leaching stage
分阶段造腔	staged cavern construction	staged_cavern_construction	salt-cavern-construction	leaching-stage	通过多阶段管柱和垫层参数控制形态	阶段;提管;油垫;工艺方案	verified	literature	Construction studies	SC01|SC09	not-collected	cnki_query_unauthorized_2026-08-26
腔顶	cavern roof	cavern_roof	salt-cavern-construction	cavern-geometry	盐穴上部边界	顶部;上溶;油垫;套管鞋	verified	official	DOE and leaching sources	SC_GOV01|SC01	not-collected	cnki_query_unauthorized_2026-08-26					ceiling
腔底	cavern floor	cavern_floor	salt-cavern-construction	cavern-geometry	盐穴下部边界	底部;沉渣;倒锥;建槽	verified	official	DOE and leaching sources	SC_GOV01|SC01	not-collected	cnki_query_unauthorized_2026-08-26						最低点可用 cavern bottom
腔壁	cavern wall	cavern_wall	salt-cavern-construction	cavern-geometry	盐穴周边盐岩溶蚀边界	侧壁;溶解;半径;粗糙度	verified	literature	Leaching studies	SC01|SC11	not-collected	cnki_query_unauthorized_2026-08-26						侧壁可写 cavern sidewall
沉渣槽	sump	cavern_sump	salt-cavern-construction	cavern-geometry	腔底用于容纳不溶沉渣的局部空间	沉渣;不溶物;底部;预先溶出	verified	official	DOE and HyStories	SC_GOV01|SC14	not-collected	cnki_query_unauthorized_2026-08-26					sediment trough
腔颈	cavern neck	cavern_neck	salt-cavern-construction	cavern-geometry	盐穴上部或局部收窄段	颈部;缩径;不规则;层状盐	verified	literature	Cavern repair study	SC10	not-collected	cnki_query_unauthorized_2026-08-26					wellbore
穹顶形腔顶	domed cavern roof	domed_cavern_roof	salt-cavern-construction	cavern-geometry	设计或实测的穹顶状腔顶	穹顶;圆滑;腔顶;设计	verified	literature	Construction and evaluation studies	SC08|SC09	not-collected	cnki_query_unauthorized_2026-08-26					dome	避免与 salt dome 混淆
倒锥形腔底	inverted-cone cavern floor	inverted_cone_cavern_floor	salt-cavern-construction	cavern-geometry	为沉渣和有效容积设计的倒锥状底部	倒锥;腔底;沉渣;形状	recommended	literature	Leaching and design studies	SC01|SC09	not-collected	cnki_query_unauthorized_2026-08-26
盐穴几何形态	cavern geometry	cavern_geometry	salt-cavern-construction	cavern-geometry	盐穴三维尺寸轮廓和形状的总称	高度;直径;体积;三维	verified	literature	Geometry and sonar studies	SC03|SC06	not-collected	cnki_query_unauthorized_2026-08-26					cavern morphology
盐穴轮廓	cavern contour	cavern_contour	salt-cavern-construction	cavern-geometry	剖面或声呐测得的边界线	剖面;边界;不规则;声呐	verified	literature	Sonar and repair studies	SC06|SC10	not-collected	cnki_query_unauthorized_2026-08-26						三维对象可用 cavern surface
有效容积	usable cavern volume	usable_cavern_volume	salt-cavern-construction	cavern-geometry	可用于目标储存且不被沉渣占据的容积	沉渣;储气;利用;可用	verified	literature	Construction studies	SC03|SC11	not-collected	cnki_query_unauthorized_2026-08-26						原文定义 free volume 时保留
声呐测腔	sonar survey	sonar_survey	salt-cavern-construction	monitoring	在充液盐穴中用声学方法测量几何形态	测腔;半径;方位;轮廓	verified	literature	Sonar surveying study	SC06|SC11	not-collected	cnki_query_unauthorized_2026-08-26						强调成像可用 sonar imaging
造腔数值模拟	leaching simulation	leaching_simulation	salt-cavern-construction	numerical-modeling	模拟盐穴随水溶工艺发展的过程	程序;阶段;管柱;预测形态	verified	literature	Leaching simulation studies	SC01|SC03|SC12	not-collected	cnki_query_unauthorized_2026-08-26
盐穴形态预测模型	cavern-shape prediction model	cavern_shape_prediction_model	salt-cavern-construction	numerical-modeling	根据工艺和地质参数预测盐穴轮廓	形态;预测;模型;实测验证	verified	literature	Shape prediction studies	SC01|SC10|SC12	not-collected	cnki_query_unauthorized_2026-08-26					morphology prediction model
移动边界	moving boundary	moving_boundary	salt-cavern-construction	numerical-modeling	溶解导致腔壁位置随时间变化的边界	动态边界;腔壁;时间步	verified	literature	Leaching model studies	SC10|SC12	not-collected	cnki_query_unauthorized_2026-08-26						常见搭配 moving-boundary problem
流场	flow field	cavern_flow_field	salt-cavern-construction	numerical-modeling	盐穴内部水和卤水的速度分布	速度;对流;循环;CFD	verified	literature	Brine transport studies	SC05|SC10	not-collected	cnki_query_unauthorized_2026-08-26					seepage field
浓度场	concentration field	brine_concentration_field	salt-cavern-construction	numerical-modeling	盐穴中卤水浓度的空间分布	卤水;扩散;盐度;耦合	verified	literature	Leaching and transport studies	SC01|SC05	not-collected	cnki_query_unauthorized_2026-08-26						保留具体溶质定义
对流-扩散过程	convection–diffusion process	convection_diffusion_process	salt-cavern-construction	numerical-modeling	卤水中盐的对流与扩散传输	溶质;浓度;流场;方程	verified	literature	Brine transport studies	SC05|SC09	not-collected	cnki_query_unauthorized_2026-08-26
盐质量守恒	salt mass conservation	salt_mass_conservation	salt-cavern-construction	numerical-modeling	盐岩溶解与卤水输运的质量平衡	守恒方程;溶解;卤水;质量	verified	literature	Leaching model	SC01	not-collected	cnki_query_unauthorized_2026-08-26					mass balance	不丢失 salt 对象
沉渣堆积	insoluble-sediment accumulation	insoluble_sediment_accumulation	salt-cavern-construction	numerical-modeling	不溶颗粒掉落并在腔底形成堆积体	不溶物;颗粒;腔底;形态	verified	literature	Sediment accumulation studies	SC01|SC11	not-collected	cnki_query_unauthorized_2026-08-26						首次出现定义 insoluble sediment
密闭性评价	tightness assessment	tightness_assessment	salt-cavern-construction	engineering-evaluation	评价盐穴夹层和井筒的流体封闭能力	渗漏;密封;压力试验;完整性	verified	literature	Construction and evaluation studies	SC08|SC09	not-collected	cnki_query_unauthorized_2026-08-26					stability assessment
稳定性评价	stability evaluation	stability_evaluation	salt-cavern-construction	engineering-evaluation	评价盐穴围岩在设计工况下的力学稳定性	塑性区;变形;破坏;安全系数	verified	literature	Construction and evaluation studies	SC08|SC09	not-collected	cnki_query_unauthorized_2026-08-26					tightness assessment
现场验证	field validation	field_validation	salt-cavern-construction	validation	用现场声呐或运行数据评估模型	现场试验;实测;声呐;误差	context-dependent	literature	Validation studies	SC02|SC10	not-collected	cnki_query_unauthorized_2026-08-26					field verification	只有对比时写 comparison with field data
