source_id	domain	title	year	authors	venue	doi	url	verification_status	evidence_level	role
SC01	salt-cavern-construction	Mathematical model of salt cavern leaching for gas storage in high-insoluble salt formations	2018		Scientific Reports	10.1038/s41598-017-18546-w	https://doi.org/10.1038/s41598-017-18546-w	doi_title_year_verified	metadata_and_title	Leaching model and insolubles
SC02	salt-cavern-construction	Parameter optimization of solution mining under nitrogen	2021		Journal of Natural Gas Science and Engineering	10.1016/j.jngse.2021.103954	https://doi.org/10.1016/j.jngse.2021.103954	doi_title_year_verified	metadata_and_title	Nitrogen blanket and process optimization
SC03	salt-cavern-construction	Influence of tubing and oil-blanket lifting on two-well-horizontal salt caverns	2020		Tunnelling and Underground Space Technology	10.1016/j.tust.2020.103688	https://doi.org/10.1016/j.tust.2020.103688	doi_title_year_verified	metadata_and_title	Tubing and oil blanket control
SC04	salt-cavern-construction	Failure analysis of thick interlayer from leaching of bedded salt caverns	2015		International Journal of Rock Mechanics and Mining Sciences	10.1016/j.ijrmms.2014.11.003	https://doi.org/10.1016/j.ijrmms.2014.11.003	doi_title_year_verified	metadata_and_title	Interlayer mechanics
SC05	salt-cavern-construction	Simulating transport of brine in bedded salt cavern storage	2020		Engineering Geology	10.1016/j.enggeo.2020.105595	https://doi.org/10.1016/j.enggeo.2020.105595	doi_title_year_verified	metadata_and_title	Brine transport and bedded salt
SC06	salt-cavern-construction	Sonar surveying of caverns and 3D modelling of entire cavern fields	2012		Geology Geophysics and Environment	10.7494/geol.2012.38.2.251	https://doi.org/10.7494/geol.2012.38.2.251	doi_title_year_verified	metadata_and_title	Sonar surveying and cavern geometry
SC07	salt-cavern-construction	Solution mining technology of enlarging space for thick-sandwich salt cavern storage	2017		Petroleum Exploration and Development	10.1016/S1876-3804(17)30018-6	https://doi.org/10.1016/S1876-3804(17)30018-6	doi_title_year_verified	metadata_and_title	Cavern enlargement
SC08	salt-cavern-construction	Key technologies for salt-cavern underground gas storage construction and evaluation	2018		Natural Gas Industry B	10.1016/j.ngib.2018.11.011	https://doi.org/10.1016/j.ngib.2018.11.011	doi_title_year_verified	metadata_and_title	Construction and evaluation
SC09	salt-cavern-construction	Energy storage salt cavern construction and evaluation technology	2023		Advances in Geo-Energy Research	10.46690/ager.2023.09.01	https://doi.org/10.46690/ager.2023.09.01	doi_title_year_verified	metadata_and_title	Energy-storage cavern construction
SC10	salt-cavern-construction	Repair of irregularly shaped salt cavern gas storage by re-leaching under gas blanket	2017		Journal of Natural Gas Science and Engineering	10.1016/j.jngse.2017.07.004	https://doi.org/10.1016/j.jngse.2017.07.004	doi_title_year_verified	metadata_and_title	Re-leaching and gas blanket
SC11	salt-cavern-construction	Prediction model of insoluble-sediment accumulation during cavern leaching	2016		Journal of Natural Gas Science and Engineering	10.1016/j.jngse.2016.06.023	https://doi.org/10.1016/j.jngse.2016.06.023	doi_title_year_verified	metadata_and_title	Insoluble-sediment accumulation
SC12	salt-cavern-construction	Shape prediction and parameter optimization of a single-well retreating horizontal cavern	2022		Journal of Energy Storage	10.1016/j.est.2022.106557	https://doi.org/10.1016/j.est.2022.106557	doi_title_year_verified	metadata_and_title	Shape prediction and process optimization
SC13	salt-cavern-construction	Feasibility assessment of solution mining and gas storage: Sanshui case	2023		Frontiers in Energy Research	10.3389/fenrg.2023.1301765	https://doi.org/10.3389/fenrg.2023.1301765	doi_title_year_verified	metadata_and_title	Site feasibility and salt quality
SC14	salt-cavern-construction	Conceptual design of salt-cavern and porous-media underground storage sites	2022	HyStories consortium	HyStories D7.1		https://hystories.eu/wp-content/uploads/2022/05/Hystories_D7.1-1-Conceptual-design-of-salt-cavern-and-porous-media-underground-storage-site.pdf	project_pdf_verified	project_full_text	Design and leaching stages
SC15	salt-cavern-construction	Lab-scale salt caverns: construction and investigation techniques	2019		Advances in Geosciences	10.5194/adgeo-49-149-2019	https://doi.org/10.5194/adgeo-49-149-2019	doi_title_year_verified	open_full_text	Laboratory cavern construction
